num_embeddings,num_dims,lib,k,avg_time,stddev_time
1000,256,hnswlib,10,5.160331726074219e-05,1.0654740375681503e-05
1000,256,numpy,10,6.793975830078125e-05,3.310702606933187e-05
1000,256,knn,10,0.016011457443237304,0.02106762083500482
10000,256,hnswlib,10,7.749557495117188e-05,1.2786258362182308e-05
10000,256,numpy,10,0.00043664932250976564,0.0002281704624288204
10000,256,knn,10,0.015633869171142577,0.01595889113896971
100000,256,hnswlib,10,0.00012694358825683595,1.488772053136219e-05
100000,256,numpy,10,0.009181137084960938,0.006634458557555828
100000,256,knn,10,0.013572330474853516,0.011952328011560964
1000000,256,hnswlib,10,0.00016260147094726562,2.0142631070962486e-05
1000000,256,numpy,10,0.053264074325561524,0.00340468093168828
1000000,256,knn,10,0.08132699966430663,0.006153272833283861
10000000,256,hnswlib,10,0.0002641201019287109,0.00034019674947293274
10000000,256,numpy,10,0.5172037696838379,0.03761247335738759
10000000,256,knn,10,0.7687396144866944,0.008778093561415496
